"Company Name","Patriot Participation","Address","County","City","Phone","Employees","NAICS"
"C ANNA SWEETS MINERAL INC","N"," 2065 E 9400 S SANDY UT 84093    ","Salt Lake","SANDY","0         ","20-49","311352"
"CROWN CHOCOLATE","N"," 1239 SWANER RD SALT LAKE CITY UT 841042597","Salt Lake","SALT LAKE CITY","(801) 467-3050","10-19","311352"
"HATCH FAMILY CHOCOLATES","N","UNIT A 376 8TH AVE SALT LAKE CITY UT 841032813","Salt Lake","SALT LAKE CITY","(801) 532-4912","10-19","311352"
"V CHOCOLATES INC","N"," 850 S MAIN ST SALT LAKE CITY UT 841012922","Salt Lake","SALT LAKE CITY","(801) 269-8444","10-19","311352"
"C ANNA SWEETS MINERAL INC","N"," 1100 WEST 7800 SOUTH, BUILDING #10 WEST JORDAN UT 84088    ","Salt Lake","WEST JORDAN","0         ","5-9","311352"
"CUMMINGS STUDIO CHOCOLATES","N"," 679 E 9TH S SALT LAKE CITY UT 841051128","Salt Lake","SALT LAKE CITY","(801) 328-4858","5-9","311352"
"FUDGE CO. LLC","N","SUITE B 13292 S ROSECREST RD HERRIMAN UT 840963550","Salt Lake","HERRIMAN","(801) 380-5081","5-9","311352"
"REBECCA'S","N"," 8396 S 700 E SANDY UT 84070    ","Salt Lake","SANDY","(801) 565-8484","5-9","311352"
"DIPPED HAUS, LLC, THE","N"," 8371 S STATE ST STE 103 SANDY UT 840705107","Salt Lake","SANDY","(801) 574-7441","1-4","311352"
"GOMACRO, LLC","N","    ","Salt Lake","","(608) 627-2310","1-4","311352"
"CONDIES CANDY CO INC","N"," 1479 S MAIN ST SALT LAKE CITY UT 841155337","Salt Lake","SALT LAKE CITY","(801) 485-2261","0","311352"
"GARDEN GATE CANDY LLC","N"," 928 E 900 S SALT LAKE CITY UT 841051402","Salt Lake","SALT LAKE CITY","(801) 466-7117","0","311352"
