"Company Name","Patriot Participation","Address","County","City","Phone","Employees","NAICS"
"PRC, INC","N"," 10093 S PROSPERITY RD WEST JORDAN UT 840817500","Salt Lake","WEST JORDAN","(801) 599-2619","100-249","311999"
"SENSAPURE, INC.","N"," 1945 FREMONT DR SALT LAKE CITY UT 841043524","Salt Lake","SALT LAKE CITY","(801) 456-4284","100-249","311999"
"BLUE CHIP GROUP, INC.","N"," 1911 S 3850 W SALT LAKE CITY UT 841044914","Salt Lake","SALT LAKE CITY","(801) 263-6667","50-99","311999"
"MZ PACKAGING, LLC","N"," 1630 S 4650 W SALT LAKE CITY UT 841045308","Salt Lake","SALT LAKE CITY","(801) 456-9750","50-99","311999"
"PRF INC.","N"," 10093 S PROSPERITY RD WEST JORDAN UT 840817500","Salt Lake","WEST JORDAN","(801) 253-3072","50-99","311999"
"THE COCONUT CULT","N","    ","Salt Lake","","(909) 841-3143","50-99","311999"
"CIRKUL, INC.","N","    ","Salt Lake","","(813) 777-2996","20-49","311999"
"BONBON DESSERTS GRAND CENTRAL, LLC","N"," 104 EAST RESACA DRIVE #E11 SANDY UT 84070    ","Salt Lake","SANDY","(801) 274-6080","10-19","311999"
"GO ENERGY FOODS, INC.","N","STE C 14557 S 790 W BLUFFDALE UT 840652359","Salt Lake","BLUFFDALE","(385) 274-7888","10-19","311999"
"LAZIZ, LLC","N","STE 1200 3232 S 400 E SALT LAKE CITY UT 841155000","Salt Lake","SALT LAKE CITY","(801) 674-6141","10-19","311999"
"COLBAR LLC","N","    ","Salt Lake","","(785) 625-6611","1-4","311999"
"DESIGNER PROTEIN, LLC","N","    ","Salt Lake","","(800) 337-4463","1-4","311999"
"DRIP DROP HYDRATION INC.","N","   UT ","Salt Lake","","(800) 761-0321","1-4","311999"
"HOLLOW TREE HONEY, L.L.C.","N"," 9560 S 540 W SANDY UT 84070    ","Salt Lake","SANDY","(801) 556-2774","1-4","311999"
"KMB FOODS, INC.","N"," 4505 WASATCH BLVD STE 222 SALT LAKE CITY UT 841244746","Salt Lake","SALT LAKE CITY","(801) 274-1442","1-4","311999"
"LAB2FAB LLC","N","    ","Salt Lake","","(408) 706-0045","1-4","311999"
"ORGANICGIRL LLC","N","    ","Salt Lake","","(831) 758-7593","1-4","311999"
"PERFECT DAY, INC.","N","#702 5 SOUTH 500 WEST SALT LAKE CITY UT 841014123","Salt Lake","SALT LAKE CITY","(203) 848-8633","1-4","311999"
"SOLSTICE CHOCOLATE, INC.","N"," 469 W CENTURY DR MURRAY UT 841232535","Salt Lake","MURRAY","(801) 860-1831","1-4","311999"
"TANKINZ NOODLE MANFACTURING LLC","N"," 511 W 500 N SALT LAKE CITY UT 841163414","Salt Lake","SALT LAKE CITY","(801) 485-0951","1-4","311999"
"UNCLE BOB'S BUTTER COUNTRY","N"," 1977 E REGAL STREAM CV SALT LAKE CITY UT 841215020","Salt Lake","SALT LAKE CITY","(801) 243-2458","1-4","311999"
"MCCLARY INNOVATION, LLC","N"," 1630 S 4650 W SALT LAKE CITY UT 841045308","Salt Lake","SALT LAKE CITY","(801) 456-9750","0","311999"
"SPILL THE TEA LLC","N","    ","Salt Lake","","(801) 634-6283","0","311999"
"ZOOMESSENCE INC","N","    ","Salt Lake","","(844) 274-9666","0","311999"
